Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,experiment_group,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,stimulus,treatment
SRR29279085,RNA-Seq,76,65352780,PRJNA1120019,SAMN41673653,28687968,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",6,SRX24796384,uncalculated,uncalculated,missing,NextSeq 500,GSM8305589,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305589,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279089,RNA-Seq,76,87691308,PRJNA1120019,SAMN41673654,38568410,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",6,SRX24796383,uncalculated,uncalculated,missing,NextSeq 500,GSM8305588,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305588,Bone-marrow Macrophage,SRP511692,None,Vancomycin
SRR29279093,RNA-Seq,76,105854548,PRJNA1120019,SAMN41673655,46631199,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",6,SRX24796382,uncalculated,uncalculated,missing,NextSeq 500,GSM8305587,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305587,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279097,RNA-Seq,76,96742908,PRJNA1120019,SAMN41673656,42853139,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",6,SRX24796381,uncalculated,uncalculated,missing,NextSeq 500,GSM8305586,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305586,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279101,RNA-Seq,76,96998040,PRJNA1120019,SAMN41673657,42405982,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",5,SRX24796380,uncalculated,uncalculated,missing,NextSeq 500,GSM8305585,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305585,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279105,RNA-Seq,76,83039272,PRJNA1120019,SAMN41673658,36569356,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",5,SRX24796379,uncalculated,uncalculated,missing,NextSeq 500,GSM8305584,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305584,Bone-marrow Macrophage,SRP511692,None,Vancomycin
SRR29279109,RNA-Seq,76,82353980,PRJNA1120019,SAMN41673659,36088456,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",5,SRX24796378,uncalculated,uncalculated,missing,NextSeq 500,GSM8305583,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305583,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279113,RNA-Seq,76,88190172,PRJNA1120019,SAMN41673660,38640478,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",5,SRX24796377,uncalculated,uncalculated,missing,NextSeq 500,GSM8305582,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305582,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279117,RNA-Seq,76,117002684,PRJNA1120019,SAMN41673661,51007843,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",4,SRX24796376,uncalculated,uncalculated,missing,NextSeq 500,GSM8305581,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305581,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279121,RNA-Seq,76,97412620,PRJNA1120019,SAMN41673662,42650951,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",4,SRX24796375,uncalculated,uncalculated,missing,NextSeq 500,GSM8305580,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305580,Bone-marrow Macrophage,SRP511692,None,Vancomycin
