gene_id	gene_name	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00010W_A	C1_00010W_A	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0.998	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
C1_00020C_A	C1_00020C_A	2	4	1	2	2	0	1	0	0	0	0	0	1	2	0	2	1	1	0	0	2	3	3	5	0	1	1	0	0	0	0	0	0	0	0	0	5	5	4	2	0	0	0	0	1	2	0	3	0	0	0	0	1	2	0	0	0	0	0	0
C1_00030C_A	C1_00030C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00040W_A	CTA2	0	0	0	0	0	0	0	0	0	1.087	1.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00050C_A	C1_00050C_A	0	0	0	0	0	0	0.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C1_00060W_A	TUP1	0	1	0	0	1	0	0	0	0	0	0	0	0.999	0	0	2	0	0	0	0	0	0	0	0	3	2	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.762	0	0	0	0	0	0	0	0
C1_00070W_A	MVD	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00080C_A	RCA1	2	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.716	0	0	0	0	0	0	0	0	0
C1_00090W_A	C1_00090W_A	0	0	0	0	1	0	1	0	0	0	0	0	0.886	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	4	0	2
C1_00100C_A	C1_00100C_A	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	2.001	1	1	0	0	0	0	1.006	0	2	0	2	2	1	0	0	1	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	1.939	0	0	0	1	0	0	1	0	1	0	0
C1_00110W_A	CCT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0
C1_00120C_A	TRP1	1	5	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.366	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C1_00130C_A	VPS53	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	1	0	1	0	0	2	0	1	1	0	1.353	0	0	0	0	0	0	1	0	2	2	5	2	0	0	0	0	1	1	1	2	0	0	0	1	1	0	0	0	0	0	1	0
C1_00140W_A	KEL1	0	0	0	0	2	0	2	1	0	0	2	2	2	0	1	0	4	10	4	6	0	0	0	0	0	1	2	1	2	0	1.285	4.731	1	0.99	1	0	0	0	0	0	1	0	1	0	1	2	1	0	3	2.377	0	1	2.999	1	0	1	1	0	0	1
C1_00150C_A	RIM8	0	0	0	0	1.047	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1.083	0	0	0	1	0	2	1	0	0	1	1	0	1.083	5	4	0	0	0	0	0	0	0	0	1	0	0	2	0	1.155	0	0	1	0	0	1	0	2	0	0
C1_00160C_A	C1_00160C_A	0	0	0	0	0	0	0	0	1	1	3	2	0	0	0	0	3	6	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0
C1_00170W_A	LEU4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.069	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	1	0	1	0	0	0
C1_00180W_A	RPL16A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
C1_00190C_A	C1_00190C_A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1_00200C_A	C1_00200C_A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
C1_00210C_A	C1_00210C_A	2	0	0	2	0	0	0	0.997	4	2	4	4	0	0	0	0	2	2	2	2	1	0	0	0	5	2	1.319	2	1.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	3
C1_00220W_A	PHR2	3	0	2	2.861	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	3	3	1	1	0	0	0	0	2	12.768	10	4	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C1_00230C_A	BFA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0.999	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
C1_00240C_A	tT(AGU)6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00270W_A	C1_00270W_A	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C1_00280C_A	RFC52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
