gene_id	gene_name	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00010W_A	C1_00010W_A	0	0	0	0	0	0	0.999995047374224	0	0	0	0	0.999995037927874	0	0	0	0.99828967860536	0	0	0	0	0	0	0	0	0	0	0.999995134731099	0.99999512072992	0	0	0.999995133344067	0	0	0.999995032582182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999997590602618	0	2.99998793022644	0	0	0	0	0	0	0	0
C1_00020C_A	C1_00020C_A	1.99999985325942	4.0000002307859	0.999999991913884	1.99999980437902	1.99999956800894	0	0.999999934500337	0	0	0	0	0	0.999999959675391	1.9999999018367	0	1.99999989124209	0.999999871505153	0.999999945486754	0	0	1.99999999205783	2.99999995441329	2.99999993331762	5.00000030123926	0	0.999999926558884	1.00000002215387	0	0	0	0	0	0	0	0	0	4.9999994945286	4.99999975833284	3.99999993715546	1.99999987552951	0	0	0	0	0.999999947926109	1.99999988755192	0	2.9999998711904	0	0	0	0	0.999999938927507	1.99999988466938	0	0	0	0	0	0
C1_00030C_A	C1_00030C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.923830261493729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00040W_A	CTA2	0	0	0	0	0	0	0	0	0	1.08658481911589	1.10290249703119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00050C_A	C1_00050C_A	0	0	0	0	0	0	0.913367620890912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999997503421126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00000003438781	0	0	0	0	0	0	0	0	0	0
C1_00060W_A	TUP1	0	1.00000014424804	0	0	0.999999861430941	0	0	0	0	0	0	0	0.999450132920646	0	0	2.00000003912044	0	0	0	0	0	0	0	0	3.00000046194442	1.99999998343725	4.00000038456684	4.00000032492154	0	0	0	0.999999844001152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00000004532188	0	0	0	0	1.76209101626302	0	0	0	0	0	0	0	0
C1_00070W_A	MVD	0	0	0	0	0.99999986252531	0	0	0	0	0	0	0	0	0	0	0	0.999999972928278	5.00000012608248	2.00000021876875	1.00000000988967	0	0	0	0	0	0	0	0	0	0	0	0	1.00000001127663	0	0.999999945475935	0	0	0	1.00000005554887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00080C_A	RCA1	2.00000001059066	3.00000041440209	1.00000006733054	0.999999989829867	0	0	0	0	0	0	0	0	0	1.0000000377814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00000002036335	0	0	0	0	0.999999999378273	0	0	0	1.00000003603339	0	0	0	0	0	0	0	0	0	0	0	0	0.715947125069951	0	0	0	0	0	0	0	0	0
C1_00090W_A	C1_00090W_A	0	0	0	0	0.999999855214926	0	1.0000000030463	0	0	0	0	0	0.885748166997231	0	0	0	0	0	1.00000008366038	0.999999981701468	0	0	0	0	0	1.0000000064478	2.00000019663319	0	0	1.00000003810178	1.00000009208686	0.999999857833523	0	0.999999994874036	0	0	0	0	0	0	0	0	0	0	1.00000002762953	0	0	1.00000003311814	0.999998938446282	1.00000255150088	0.9999916281432	0	0	1.00000001326612	0	0	0	4.00000282546127	0	1.99999849449853
C1_00100C_A	C1_00100C_A	0	0	0	0	0.999999858979555	0	0	0	0.999999985489855	1.00000004170258	0	1.00000000562653	1.00000004294658	1.00000003893114	0	0	0.999999946861997	2.00071711770333	1.00000009938462	0.999999989213553	0	0	0	0	1.00623225111003	0	2.00000021147972	0	2.00000005915739	2.00000008097152	1.0000001007381	0	0	0.999999992340402	0.998419764295597	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93882004237501	0	0	0	1.0000112211127	0	0	1.00000000108691	0	1.00000071177908	0	0
C1_00110W_A	CCT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999855709881	0	0	0	0	0	0	0	0	0	0	0	0	1.00000007244957	1.00000001319978	0	0	0	0	0	0	0	0	1.99999997535873	0	0	1.00000071851035	0	0
C1_00120C_A	TRP1	1.00000000812801	5.0000006684837	4.00000027538156	1.99999995894245	0	0	0	0	0	0	0.999546619582592	0	0	0	0	0	0	0	1.36595918349904	0	0	0	0	0	0	0	0	1.00000007951489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00000071095264	0	0
C1_00130C_A	VPS53	0	0	0	0	0	0	0.999999990777	0	0	0	1.00000006802182	2.00000101426375	1.00000002046523	0	0	0	0	1.00000002912978	0	0.999999913019541	0	0	2.00000008137667	0	1.00000019166922	1.00000005063532	0	1.35292910725671	0	0	0	0	0	0	0.999999954884838	0	1.99999992097426	2.00000008420038	5.0000002903097	2.00000003191271	0	0	0	0	1.00000022959868	1.00000004164242	0.999999996008207	2.00000002961553	0	0	0	1.00000093928843	1.0000000956198	0	0	0	0	0	0.999998684008373	0
