gene_id	gene_name	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00010W_A	C1_00010W_A	0	0	0	0	0	0	15.4419616095626	0	0	0	0	15.0246695787851	0	0	0	13.5463059110271	0	0	0	0	0	0	0	0	0	0	10.4178452671182	10.1309497017185	0	0	8.58154101777338	0	0	18.1458486689706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88745247347874	0	13.63561559061	0	0	0	0	0	0	0	0
C1_00020C_A	C1_00020C_A	42.4857645247343	88.6673304967151	22.1201261891681	43.9169648703483	43.2898846310545	0	22.0141953592031	0	0	0	0	0	19.0594260372009	38.4717811011924	0	38.6894445996814	13.3266424035369	13.6351198552342	0	0	32.7422133944763	53.4564976508984	49.0873120001831	76.5158388056544	0	15.0878581518962	14.8517712191567	0	0	0	0	0	0	0	0	0	127.258741606584	130.771585063766	112.179387899186	53.8209623635229	0	0	0	0	21.2762428064191	45.5548300506889	0	65.4334089834276	0	0	0	0	20.5924961135026	44.5782067345992	0	0	0	0	0	0
C1_00030C_A	C1_00030C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.5609928665006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00040W_A	CTA2	0	0	0	0	0	0	0	0	0	2.55317738504044	2.99548563761811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00050C_A	C1_00050C_A	0	0	0	0	0	0	12.8107484761882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85871966492287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5309407273378	0	0	0	0	0	0	0	0	0	0
C1_00060W_A	TUP1	0	1.0737931075904	0	0	1.04851198430427	0	0	0	0	0	0	0	0.922758167609155	0	0	1.87417206273975	0	0	0	0	0	0	0	0	2.48668072527631	1.46175486772631	2.87776420576784	2.79851386231731	0	0	0	0.662205083026779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.972471486191261	0	0	0	0	0.553093731679607	0	0	0	0	0	0	0	0
C1_00070W_A	MVD	0	0	0	0	1.61088432568209	0	0	0	0	0	0	0	0	0	0	0	0.99181044423882	5.07384139905737	2.00968586909283	1.06333772831636	0	0	0	0	0	0	0	0	0	0	0	0	1.98808212906812	0	2.1397349789044	0	0	0	2.08718523806927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00080C_A	RCA1	4.406733939165	6.89760452103741	2.29435698263047	2.27759090016487	0	0	0	0	0	0	0	0	0	1.99519658837493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44217964656235	0	0	0	0	2.68318752139195	0	0	0	2.7127937647391	0	0	0	0	0	0	0	0	0	0	0	0	0.593343492977259	0	0	0	0	0	0	0	0	0
C1_00090W_A	C1_00090W_A	0	0	0	0	4.96886742414359	0	5.05363406855327	0	0	0	0	0	3.87544023175525	0	0	0	0	0	3.09949706028489	3.27992767981466	0	0	0	0	0	3.46360671369844	6.8188199803352	0	0	2.94714088140427	2.80844942357601	3.13817045525216	0	5.93852529633218	0	0	0	0	0	0	0	0	0	0	4.88422787853826	0	0	5.00701936405988	1.57096783547826	1.27223230176356	1.83421054462412	0	0	5.11674265469357	0	0	0	5.03524504187734	0	3.59790418063978
C1_00100C_A	C1_00100C_A	0	0	0	0	2.82156982140934	0	0	0	2.58461651593083	2.54104069453115	0	2.79215580634042	2.48452968745103	2.50753308472373	0	0	1.73722117124397	3.55614128983778	1.76004846274326	1.86250591985683	0	0	0	0	2.24447278271486	0	3.87206481924685	0	3.62501943729111	3.34706606118167	1.59477713950175	0	0	3.37218972131488	3.7419641887299	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7295719982375	0	0	0	2.68440617252381	0	0	3.04214111911873	0	0.714815583927583	0	0
C1_00110W_A	CCT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621691450849151	0	0	0	0	0	0	0	0	0	0	0	0	0.967596534964514	1.03586647511667	0	0	0	0	0	0	0	0	1.89523669264256	0	0	0.249378490171942	0	0
C1_00120C_A	TRP1	3.07755665764734	16.0570684580019	12.8185884513769	6.36245804035463	0	0	0	0	0	0	3.26276403101578	0	0	0	0	0	0	0	2.6719021450362	0	0	0	0	0	0	0	0	2.09239232154219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.794423815355784	0	0
C1_00130C_A	VPS53	0	0	0	0	0	0	0.74302078366554	0	0	0	0.76048067516679	1.4458846507802	0.643291726234713	0	0	0	0	0.460211129780301	0	0.482237982505768	0	0	1.10452650142133	0	0.577537220843756	0.509243820408153	0	0.659513462688593	0	0	0	0	0	0	0.970398737401086	0	1.71808942140383	1.76551552030339	4.73283356524558	1.8165594452509	0	0	0	0	0.718113649340772	0.768780924750042	0.677576045343284	1.47233431576997	0	0	0	0.218701618183223	0.695035811513886	0	0	0	0	0	0.20151282357187	0
C1_00140W_A	KEL1	0	0	0	0	0.962972533070398	0	0.979400385899773	0.388175705095242	0	0	1.00241480323435	0.952933829442418	0.847944233787304	0	0.447468894555973	0	1.18579117941092	3.03309791977517	1.2013725994397	1.9069618700552	0	0	0	0	0	0.335625587950571	0.660747775837863	0.321275782453867	0.618590779688712	0	0.349634346429534	1.43879627236701	0.594229015418058	0.569828932948291	0.639557390092499	0	0	0	0	0	0.0961974841466332	0	0.109781725842549	0	0.473284697772099	1.01335569468207	0.446567769306809	0	0.456683206428941	0.292992734034057	0	0.144138936968309	1.37359216877369	0.495815241451094	0	0.519128594695022	0.128438512288725	0	0	0.174319547655859
C1_00150C_A	RIM8	0	0	0	0	0.874427661005937	0	1.69807101932244	0	0	0	0	0	0	0.741882828265206	0.775815477241018	0	0	0	0	0	0.683760353247824	0	0	0	0.659940605216303	0	1.14559547058263	0.557023523187303	0	0	0.471833396124522	0.527228133236704	0	1.08072722374676	5.54422748489602	4.04325912295936	0	0	0	0	0	0	0	0	0.820574443087309	0	0	1.6824079973414	0	0.246933757235258	0	0	0.794203924368001	0	0	0.89961516780863	0	0.422973024435225	0	0
C1_00160C_A	C1_00160C_A	0	0	0	0	0	0	0	0	1.29908845467717	1.27718626269931	4.42882228480036	2.80680511792829	0	0	0	0	2.61950351864473	5.3602765237408	1.76928270587025	6.55297200096503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88377508617132	0	0	0	0	0	0	0	0	0.338754787709322	0	1.49238693374407	0	0	0	0.363113523133793	0	0	0	1.4603924768624	0	1.5290509142779	0.378307352004487	0	0	0
C1_00170W_A	LEU4	0	0.928939113431613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41959477451205	0	0	0.641305453609928	0.717076398647454	0	0.622388930669535	0.60524905743015	0	0	0	0	0	1.08407981012175	0	0	0	0	0	0	0.181225730289132	0	0	0	0	0	0	0	0.286780707151779	0	0	0.271542279351272	1.72592726223916	0.93406313474476	0.873207997874335	0	0.24196436504308	0	0	0
C1_00180W_A	RPL16A	0	0	0	0	3.82870249915316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52730966607107	0	0	0	8.12078049714659	0	0	0	2.55473395656352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85809992345441	0	0	0	0	0	0	0	0	0	0	1.05608704296985	0
C1_00190C_A	C1_00190C_A	0	0	0	0	3.47390469846592	0	0	0	0	0	0	0	0	0	0	0	2.13914423545422	0	0	0	0	2.86022060603539	0	0	2.74664216720783	2.42185354350146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5777737552926	0	0	0	0	0	0
C1_00200C_A	C1_00200C_A	0	0	0	0	0	0	0	0	0	0	14.3558349197413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36004832912123	0	0	0	0	0	0	0	0	0	3.80390378440017	0
C1_00210C_A	C1_00210C_A	2.9313301972936	0	0	3.03007672162152	0	0	0	1.20095934158464	5.47196162777592	2.68985307697047	6.2182949692992	5.91131108050655	0	0	0	0	1.83895897552256	1.88152616326541	1.86312312517733	1.97158083243236	1.12953407236455	0	0	0	5.90300451190776	2.08199122060538	1.35186457100301	1.99297479634989	0.960414649542071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59348909792985	0.756677716229669	0.411932297587791	1.6220385836552
C1_00220W_A	PHR2	2.87312688066937	0	1.9945168345438	2.83241569766916	0	0	0	0	0	0	1.0158045258207	0	0.859270547782281	0	0	0	0	0	0	0	0	0.803339922249536	0	0	2.31431871550798	2.04065202023799	0.669573637267546	0.65113435330045	0	0	0	0	2.40866555632791	14.8913449607303	12.9620046412378	4.72638014481173	0	0	0	0	0	0	0	0	2.87763899070816	3.08067439148541	0.905065449701015	0	0	0	0	0	0	1.00487656480919	0	0	0	0	0	0
C1_00230C_A	BFA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92145148799503	0	0	0	0	0	0	0	0	1.60848687998392	1.55764598682033	0	1.5760628494252	0	0	0	0	0.260391840335906	0	0.297162301753486	0	1.28110896997422	0	0	1.31331660738767	0.41205713946646	0	0	0	0	0	0	0	0	0	0.718994653483733	0
C1_00240C_A	tT(AGU)6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00270W_A	C1_00270W_A	0	0	0	0	0	2.18707035955585	0	0	0	0	0	0	0	1.84785897645186	0	0	0	0	0	0	0	0	0	0	0	1.44768967040839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97817864383029	0	0	0	0	0	0	0
