gene_id	gene_name	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00010W_A	C1_00010W_A	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016	89.016
C1_00020C_A	C1_00020C_A	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441
C1_00030C_A	C1_00030C_A	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441	62.441
C1_00040W_A	CTA2	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518
C1_00050C_A	C1_00050C_A	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004
C1_00060W_A	TUP1	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289	1289
C1_00070W_A	MVD	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839	839
C1_00080C_A	RCA1	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602
C1_00090W_A	C1_00090W_A	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272	272
C1_00100C_A	C1_00100C_A	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479
C1_00110W_A	CCT8	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373	1373
C1_00120C_A	TRP1	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431
C1_00130C_A	VPS53	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850
C1_00140W_A	KEL1	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807	2807
C1_00150C_A	RIM8	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619
C1_00160C_A	C1_00160C_A	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953
C1_00170W_A	LEU4	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490
C1_00180W_A	RPL16A	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353
C1_00190C_A	C1_00190C_A	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389
