gene_id	gene_name	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00010W_A	C1_00010W_A	0	0	0	0	0	0	265.526538	0	0	0	0	158.191052	0	0	0	239.68975	0	0	0	0	0	0	0	0	0	0	215.650186	227.559512	0	0	188.286654	0	0	359.145941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200.569138	0	4257.134817	0	0	0	0	0	0	0	0
C1_00020C_A	C1_00020C_A	1232.507492	2766.099585	629.038122	1321.884463	731.705466	0	378.536952	0	0	0	0	0	302.046339	668.609346	0	684.575069	227.327901	224.269217	0	0	513.651683	789.340355	752.019353	1219.978538	0	302.271048	307.432789	0	0	0	0	0	0	0	0	0	1730.799242	1755.464622	1503.96683	728.49164	0	0	0	0	172.22846	350.2278	0	527.412316	0	0	0	0	155.051136	328.36765	0	0	0	0	0	0
C1_00030C_A	C1_00030C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473.31458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00040W_A	CTA2	0	0	0	0	0	0	0	0	0	25.740269	29.638025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00050C_A	C1_00050C_A	0	0	0	0	0	0	220.282486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.927288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1090.466956	0	0	0	0	0	0	0	0	0	0
C1_00060W_A	TUP1	0	33.498456	0	0	17.72243	0	0	0	0	0	0	0	14.623511	0	0	33.161796	0	0	0	0	0	0	0	0	39.461097	29.284884	59.569937	62.859699	0	0	0	13.516599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.227757	0	0	0	0	172.679742	0	0	0	0	0	0	0	0
C1_00070W_A	MVD	0	0	0	0	27.227905	0	0	0	0	0	0	0	0	0	0	0	16.918454	83.454084	32.89713	16.659686	0	0	0	0	0	0	0	0	0	0	0	0	34.023859	0	38.129891	0	0	0	27.982479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00080C_A	RCA1	127.838881	215.18028	65.245469	68.554647	0	0	0	0	0	0	0	0	0	34.67495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.291758	0	0	0	0	53.106136	0	0	0	36.416271	0	0	0	0	0	0	0	0	0	0	0	0	168.851259	0	0	0	0	0	0	0	0	0
C1_00090W_A	C1_00090W_A	0	0	0	0	83.986074	0	86.897895	0	0	0	0	0	61.416463	0	0	0	0	0	50.736565	51.38778	0	0	0	0	0	69.390103	141.15009	0	0	66.312825	61.619882	64.054766	0	117.536374	0	0	0	0	0	0	0	0	0	0	39.537199	0	0	40.358033	427.009933	392.905855	521.972118	0	0	37.690452	0	0	0	1227.808183	0	914.799625
C1_00100C_A	C1_00100C_A	0	0	0	0	47.691466	0	0	0	26.737044	25.617911	0	29.397922	39.373856	43.578956	0	0	29.633784	58.49109	28.810743	29.180535	0	0	0	0	35.617503	0	80.152035	0	73.626883	75.311434	34.990831	0	0	66.742993	66.681476	0	0	0	0	0	0	0	0	0	0	0	0	0	470.120652	0	0	0	20.212228	0	0	22.301944	0	174.302624	0	0
