transcript_id	gene_id	gene_name
C1_04140W_A-T	C1_04140W_A	IFD6
C1_05540C_A-T	C1_05540C_A	C1_05540C_A
C1_03420W_A-T	C1_03420W_A	tN(GUU)3
C1_04990C_A-T	C1_04990C_A	C1_04990C_A
C1_01040W_A-T	C1_01040W_A	C1_01040W_A
C1_09490C_A-T	C1_09490C_A	GUA1
C1_10010C_A-T	C1_10010C_A	SWE1
C1_02150W_A-T	C1_02150W_A	GAL10
C1_13350W_A-T	C1_13350W_A	STP2
C1_07490C_A-T	C1_07490C_A	C1_07490C_A
C1_01160C_A-T	C1_01160C_A	C1_01160C_A
C1_11390W_A-T	C1_11390W_A	C1_11390W_A
C1_09160W_A-T	C1_09160W_A	AOX1
C1_01650W_A-T	C1_01650W_A	ISN1
C1_08510W_A-T	C1_08510W_A	EAF6
C1_13020C_A-T	C1_13020C_A	SPC3
C1_00230C_A-T	C1_00230C_A	BFA1
C1_06990C_A-T	C1_06990C_A	tL(UAA)4
C1_12080W_A-T	C1_12080W_A	LCB4
C1_01860W_A-T	C1_01860W_A	C1_01860W_A
C1_09980C_A-T	C1_09980C_A	C1_09980C_A
C1_05350W_A-T	C1_05350W_A	YPT53
C1_12910W_A-T	C1_12910W_A	C1_12910W_A
C1_09290C_A-T	C1_09290C_A	ARG5
C1_12950W_A-T	C1_12950W_A	C1_12950W_A
C1_11060C_A-T	C1_11060C_A	RPL2
C1_04930C_A-T	C1_04930C_A	C1_04930C_A
C1_03790C_A-T	C1_03790C_A	FPR3
C1_02410C_A-T	C1_02410C_A	C1_02410C_A
C1_09680W_A-T	C1_09680W_A	MTS1
C1_03480C_A-T	C1_03480C_A	AGE1
C1_09610W_A-T	C1_09610W_A	C1_09610W_A
C1_10380C_A-T	C1_10380C_A	CBK1
C1_03680W_A-T	C1_03680W_A	ENG1
C1_02720W_A-T	C1_02720W_A	C1_02720W_A
C1_02610W_A-T	C1_02610W_A	IML1
C1_08780W_A-T	C1_08780W_A	C1_08780W_A
C1_07510W_A-T	C1_07510W_A	C1_07510W_A
C1_08500C_A-T	C1_08500C_A	ENO1
C1_06060C_A-T	C1_06060C_A	ACP1
C1_14130W_A-T	C1_14130W_A	FTR1
C1_09060C_A-T	C1_09060C_A	C1_09060C_A
C1_10180C_A-T	C1_10180C_A	ECM21
C1_12770W_A-T	C1_12770W_A	RPG1A
C1_05320C_A-T	C1_05320C_A	C1_05320C_A
C1_09960W_A-T	C1_09960W_A	PET100
C1_05820C_A-T	C1_05820C_A	RAD10
C1_12390C_A-T	C1_12390C_A	RPL27A
C1_08310W_A-T	C1_08310W_A	OPY2
C1_11020W_A-T	C1_11020W_A	C1_11020W_A
C1_01390C_A-T	C1_01390C_A	HOT1
C1_10290W_A-T	C1_10290W_A	GCA1
C1_13770C_A-T	C1_13770C_A	LCL3
C1_13300C_A-T	C1_13300C_A	RPN1
C1_13160W_A-T	C1_13160W_A	PSA2
C1_06450C_A-T	C1_06450C_A	RPS14B
C1_03930W_A-T	C1_03930W_A	C1_03930W_A
C1_06730W_A-T	C1_06730W_A	RAC1
C1_12710C_A-T	C1_12710C_A	C1_12710C_A
C1_05650W_A-T	C1_05650W_A	C1_05650W_A
C1_04520C_A-T	C1_04520C_A	PHO85
C1_14500C_A-T	C1_14500C_A	C1_14500C_A
C1_11830W_A-T	C1_11830W_A	tY(GUA)4
C1_02320C_A-T	C1_02320C_A	C1_02320C_A
C1_04390C_A-T	C1_04390C_A	NOP4
C1_01050C_A-T	C1_01050C_A	C1_01050C_A
C1_00960C_A-T	C1_00960C_A	SET1
C1_11220C_A-T	C1_11220C_A	TIM50
C1_11530C_A-T	C1_11530C_A	C1_11530C_A
C1_14220C_A-T	C1_14220C_A	FTR2
C1_11140W_A-T	C1_11140W_A	C1_11140W_A
C1_05780W_A-T	C1_05780W_A	C1_05780W_A
C1_10390C_A-T	C1_10390C_A	RPL42
C1_03720C_A-T	C1_03720C_A	C1_03720C_A
C1_08620W_A-T	C1_08620W_A	CTR2
C1_07140C_A-T	C1_07140C_A	RIA1
C1_10230C_A-T	C1_10230C_A	C1_10230C_A
C1_08450C_A-T	C1_08450C_A	CDC42
C1_03240W_A-T	C1_03240W_A	C1_03240W_A
C1_08130C_A-T	C1_08130C_A	TERT
C1_03750W_A-T	C1_03750W_A	C1_03750W_A
C1_04600C_A-T	C1_04600C_A	C1_04600C_A
C1_11000C_A-T	C1_11000C_A	CGR1
C1_13840W_A-T	C1_13840W_A	C1_13840W_A
C1_08190C_A-T	C1_08190C_A	CAT8
C1_11280W_A-T	C1_11280W_A	CWC2
C1_05010C_A-T	C1_05010C_A	C1_05010C_A
