sample,fastq_1,fastq_2,strandedness,seq_platform
SRR29279085,results/decontaminated/filter/filtered/SRR29279085_filtered.fastq.gz,,auto,ILLUMINA
SRR29279086,results/decontaminated/filter/filtered/SRR29279086_filtered.fastq.gz,,auto,ILLUMINA
SRR29279087,results/decontaminated/filter/filtered/SRR29279087_filtered.fastq.gz,,auto,ILLUMINA
SRR29279088,results/decontaminated/filter/filtered/SRR29279088_filtered.fastq.gz,,auto,ILLUMINA
SRR29279093,results/decontaminated/filter/filtered/SRR29279093_filtered.fastq.gz,,auto,ILLUMINA
SRR29279094,results/decontaminated/filter/filtered/SRR29279094_filtered.fastq.gz,,auto,ILLUMINA
SRR29279095,results/decontaminated/filter/filtered/SRR29279095_filtered.fastq.gz,,auto,ILLUMINA
SRR29279096,results/decontaminated/filter/filtered/SRR29279096_filtered.fastq.gz,,auto,ILLUMINA
SRR29279101,results/decontaminated/filter/filtered/SRR29279101_filtered.fastq.gz,,auto,ILLUMINA
SRR29279102,results/decontaminated/filter/filtered/SRR29279102_filtered.fastq.gz,,auto,ILLUMINA
SRR29279103,results/decontaminated/filter/filtered/SRR29279103_filtered.fastq.gz,,auto,ILLUMINA
SRR29279104,results/decontaminated/filter/filtered/SRR29279104_filtered.fastq.gz,,auto,ILLUMINA
SRR29279109,results/decontaminated/filter/filtered/SRR29279109_filtered.fastq.gz,,auto,ILLUMINA
SRR29279110,results/decontaminated/filter/filtered/SRR29279110_filtered.fastq.gz,,auto,ILLUMINA
SRR29279111,results/decontaminated/filter/filtered/SRR29279111_filtered.fastq.gz,,auto,ILLUMINA
SRR29279112,results/decontaminated/filter/filtered/SRR29279112_filtered.fastq.gz,,auto,ILLUMINA
SRR29279117,results/decontaminated/filter/filtered/SRR29279117_filtered.fastq.gz,,auto,ILLUMINA
SRR29279118,results/decontaminated/filter/filtered/SRR29279118_filtered.fastq.gz,,auto,ILLUMINA
SRR29279119,results/decontaminated/filter/filtered/SRR29279119_filtered.fastq.gz,,auto,ILLUMINA
SRR29279120,results/decontaminated/filter/filtered/SRR29279120_filtered.fastq.gz,,auto,ILLUMINA
SRR29279125,results/decontaminated/filter/filtered/SRR29279125_filtered.fastq.gz,,auto,ILLUMINA
SRR29279126,results/decontaminated/filter/filtered/SRR29279126_filtered.fastq.gz,,auto,ILLUMINA
SRR29279127,results/decontaminated/filter/filtered/SRR29279127_filtered.fastq.gz,,auto,ILLUMINA
SRR29279128,results/decontaminated/filter/filtered/SRR29279128_filtered.fastq.gz,,auto,ILLUMINA
SRR29279133,results/decontaminated/filter/filtered/SRR29279133_filtered.fastq.gz,,auto,ILLUMINA
SRR29279134,results/decontaminated/filter/filtered/SRR29279134_filtered.fastq.gz,,auto,ILLUMINA
SRR29279135,results/decontaminated/filter/filtered/SRR29279135_filtered.fastq.gz,,auto,ILLUMINA
SRR29279136,results/decontaminated/filter/filtered/SRR29279136_filtered.fastq.gz,,auto,ILLUMINA
SRR29279141,results/decontaminated/filter/filtered/SRR29279141_filtered.fastq.gz,,auto,ILLUMINA
SRR29279142,results/decontaminated/filter/filtered/SRR29279142_filtered.fastq.gz,,auto,ILLUMINA
SRR29279143,results/decontaminated/filter/filtered/SRR29279143_filtered.fastq.gz,,auto,ILLUMINA
SRR29279144,results/decontaminated/filter/filtered/SRR29279144_filtered.fastq.gz,,auto,ILLUMINA
SRR29279149,results/decontaminated/filter/filtered/SRR29279149_filtered.fastq.gz,,auto,ILLUMINA
SRR29279150,results/decontaminated/filter/filtered/SRR29279150_filtered.fastq.gz,,auto,ILLUMINA
SRR29279151,results/decontaminated/filter/filtered/SRR29279151_filtered.fastq.gz,,auto,ILLUMINA
SRR29279152,results/decontaminated/filter/filtered/SRR29279152_filtered.fastq.gz,,auto,ILLUMINA
SRR29279157,results/decontaminated/filter/filtered/SRR29279157_filtered.fastq.gz,,auto,ILLUMINA
SRR29279158,results/decontaminated/filter/filtered/SRR29279158_filtered.fastq.gz,,auto,ILLUMINA
SRR29279159,results/decontaminated/filter/filtered/SRR29279159_filtered.fastq.gz,,auto,ILLUMINA
SRR29279160,results/decontaminated/filter/filtered/SRR29279160_filtered.fastq.gz,,auto,ILLUMINA
SRR29279161,results/decontaminated/filter/filtered/SRR29279161_filtered.fastq.gz,,auto,ILLUMINA
