sample,short_reads_fastq_1,short_reads_fastq_2,long_reads_fastq_1
SRR29279177,data/fastq/SRX24796361_SRR29279177.fastq.gz,,
SRR29279178,data/fastq/SRX24796361_SRR29279178.fastq.gz,,
SRR29279179,data/fastq/SRX24796361_SRR29279179.fastq.gz,,
SRR29279180,data/fastq/SRX24796361_SRR29279180.fastq.gz,,
SRR29279173,data/fastq/SRX24796362_SRR29279173.fastq.gz,,
SRR29279174,data/fastq/SRX24796362_SRR29279174.fastq.gz,,
SRR29279175,data/fastq/SRX24796362_SRR29279175.fastq.gz,,
SRR29279176,data/fastq/SRX24796362_SRR29279176.fastq.gz,,
SRR29279169,data/fastq/SRX24796363_SRR29279169.fastq.gz,,
SRR29279170,data/fastq/SRX24796363_SRR29279170.fastq.gz,,
SRR29279171,data/fastq/SRX24796363_SRR29279171.fastq.gz,,
SRR29279172,data/fastq/SRX24796363_SRR29279172.fastq.gz,,
SRR29279165,data/fastq/SRX24796364_SRR29279165.fastq.gz,,
SRR29279166,data/fastq/SRX24796364_SRR29279166.fastq.gz,,
SRR29279167,data/fastq/SRX24796364_SRR29279167.fastq.gz,,
SRR29279168,data/fastq/SRX24796364_SRR29279168.fastq.gz,,
SRR29279161,data/fastq/SRX24796365_SRR29279161.fastq.gz,,
SRR29279162,data/fastq/SRX24796365_SRR29279162.fastq.gz,,
SRR29279163,data/fastq/SRX24796365_SRR29279163.fastq.gz,,
SRR29279164,data/fastq/SRX24796365_SRR29279164.fastq.gz,,
SRR29279157,data/fastq/SRX24796366_SRR29279157.fastq.gz,,
SRR29279158,data/fastq/SRX24796366_SRR29279158.fastq.gz,,
SRR29279159,data/fastq/SRX24796366_SRR29279159.fastq.gz,,
SRR29279160,data/fastq/SRX24796366_SRR29279160.fastq.gz,,
SRR29279149,data/fastq/SRX24796368_SRR29279149.fastq.gz,,
SRR29279150,data/fastq/SRX24796368_SRR29279150.fastq.gz,,
SRR29279151,data/fastq/SRX24796368_SRR29279151.fastq.gz,,
SRR29279152,data/fastq/SRX24796368_SRR29279152.fastq.gz,,
SRR29279141,data/fastq/SRX24796370_SRR29279141.fastq.gz,,
SRR29279142,data/fastq/SRX24796370_SRR29279142.fastq.gz,,
SRR29279143,data/fastq/SRX24796370_SRR29279143.fastq.gz,,
SRR29279144,data/fastq/SRX24796370_SRR29279144.fastq.gz,,
SRR29279133,data/fastq/SRX24796372_SRR29279133.fastq.gz,,
SRR29279134,data/fastq/SRX24796372_SRR29279134.fastq.gz,,
SRR29279135,data/fastq/SRX24796372_SRR29279135.fastq.gz,,
SRR29279136,data/fastq/SRX24796372_SRR29279136.fastq.gz,,
SRR29279125,data/fastq/SRX24796374_SRR29279125.fastq.gz,,
SRR29279126,data/fastq/SRX24796374_SRR29279126.fastq.gz,,
SRR29279127,data/fastq/SRX24796374_SRR29279127.fastq.gz,,
SRR29279128,data/fastq/SRX24796374_SRR29279128.fastq.gz,,
SRR29279117,data/fastq/SRX24796376_SRR29279117.fastq.gz,,
SRR29279118,data/fastq/SRX24796376_SRR29279118.fastq.gz,,
SRR29279119,data/fastq/SRX24796376_SRR29279119.fastq.gz,,
SRR29279120,data/fastq/SRX24796376_SRR29279120.fastq.gz,,
SRR29279109,data/fastq/SRX24796378_SRR29279109.fastq.gz,,
SRR29279110,data/fastq/SRX24796378_SRR29279110.fastq.gz,,
SRR29279111,data/fastq/SRX24796378_SRR29279111.fastq.gz,,
SRR29279112,data/fastq/SRX24796378_SRR29279112.fastq.gz,,
SRR29279101,data/fastq/SRX24796380_SRR29279101.fastq.gz,,
SRR29279102,data/fastq/SRX24796380_SRR29279102.fastq.gz,,
SRR29279103,data/fastq/SRX24796380_SRR29279103.fastq.gz,,
SRR29279104,data/fastq/SRX24796380_SRR29279104.fastq.gz,,
SRR29279093,data/fastq/SRX24796382_SRR29279093.fastq.gz,,
SRR29279094,data/fastq/SRX24796382_SRR29279094.fastq.gz,,
SRR29279095,data/fastq/SRX24796382_SRR29279095.fastq.gz,,
SRR29279096,data/fastq/SRX24796382_SRR29279096.fastq.gz,,
SRR29279085,data/fastq/SRX24796384_SRR29279085.fastq.gz,,
SRR29279086,data/fastq/SRX24796384_SRR29279086.fastq.gz,,
SRR29279087,data/fastq/SRX24796384_SRR29279087.fastq.gz,,
SRR29279088,data/fastq/SRX24796384_SRR29279088.fastq.gz,,
